12:41:09.697 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-dummy-MyAgent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml dummy MyAgent
12:41:09.775 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:41:09.822 CONFIG | Reading config\settings_auction.xml
12:41:09.837 CONFIG | Reading config\topology\england.xml
12:41:09.853 CONFIG | Reading tournament\MyEvent\agents.xml
12:43:13.904 CONFIG | Done in 10000 iterations; final solution cost = 18139.5
12:43:13.904 CONFIG | total cost: 0.0
12:43:18.054 CONFIG | Wrote tournament\MyEvent\auction-dummy-MyAgent.xml
12:43:18.289 INFO | LogistPlatform finished successfully!
12:43:18.305 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-dummy-Naive.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml dummy Naive
12:43:18.384 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:43:18.446 CONFIG | Reading config\settings_auction.xml
12:43:18.462 CONFIG | Reading config\topology\england.xml
12:43:18.477 CONFIG | Reading tournament\MyEvent\agents.xml
12:43:24.284 CONFIG | Done in 10000 iterations; final solution cost = 16824.0
12:43:29.973 CONFIG | Wrote tournament\MyEvent\auction-dummy-Naive.xml
12:43:30.176 INFO | LogistPlatform finished successfully!
12:43:30.176 FINE | Run command: java -Xmx1024m -classpath logist/logist.jar logist.LogistPlatform -o tournament\MyEvent\auction-dummy-Opponent.xml -a tournament\MyEvent\agents.xml C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml dummy Opponent
12:43:30.255 CONFIG | Reading C:\Users\Sun\workspace\CourseIntelligentAgents\auction\auction\config\auction.xml
12:43:30.317 CONFIG | Reading config\settings_auction.xml
12:43:30.333 CONFIG | Reading config\topology\england.xml
12:43:30.333 CONFIG | Reading tournament\MyEvent\agents.xml
12:43:31.128 CONFIG | lowest = -1.3482698511467367E308,  estimate * beta = 0.0 * 0.85
12:45:53.078 CONFIG | Done in 10000 iterations; final solution cost = 18436.5
12:45:53.094 CONFIG | total cost: 0.0
12:46:03.672 CONFIG | Wrote tournament\MyEvent\auction-dummy-Opponent.xml
12:46:03.890 INFO | LogistPlatform finished successfully!
